station_id,station_name,longitude_wgs84,latitude_wgs84,month,total_day_count,total_night_count,day_hours_weighted,night_hours_weighted,avg_day_count_per_hour,avg_night_count_per_hour,day_night_ratio,day_night_ratio_reliable
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-01,11874.244433052223,13593.755566947777,252.25277094527777,491.74722905472225,47.07280078056368,27.643786815187212,1.702834748917336,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-02,17285.202328261388,9761.797671738612,275.4455073022222,396.55449269777773,62.75361866510987,24.616535309759502,2.549246588744375,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-03,36477.75078221584,6205.249217784167,368.8174108408333,375.1825891591667,98.9046333226339,16.539278199691896,5.979984865631945,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-04,45443.22366558417,12261.776334415834,421.24926776527775,298.75073223472225,107.87727633726206,41.04350219560972,2.6283643102172047,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-05,53850.636178704444,4318.363821295556,493.9207367352778,250.07926326472221,109.02687855271458,17.267980419169493,6.313817592222996,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-06,59337.88026698695,2327.1197330130553,508.2723593,211.7276407,116.74425961055196,10.99110028959509,10.621708157923905,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-07,55533.52635551,3975.47364449,508.95938871444446,235.04061128555554,109.11190084493659,16.91398615220634,6.450986766990081,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-08,49535.12881796694,8566.871182033055,456.3271263661111,287.6728736338889,108.55179531497964,29.779906161523623,3.645135573168167,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-09,38458.515141284166,18231.484858715834,379.47910540944446,340.52089459055554,101.34554075062657,53.53998873002341,1.892894323561847,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-10,21117.568828251668,16148.431171748334,326.24710055888886,417.7528994411111,64.72875557231156,38.65546162181625,1.6745047881094282,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-11,17731.009521811113,14737.990478188889,257.97459228055556,462.0254077194445,68.73161176480542,31.89865802172125,2.1546866240580695,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-12,12389.6139451475,14962.386054852499,234.07368837805555,509.9263116219445,52.930399956516546,29.34225144660803,1.803897020405205,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2026-01,6206.140936835,6694.859063165,251.92644384916667,492.0735561508333,24.63473402002506,13.60540305302009,1.810658157205913,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2026-02,12162.959584005834,6767.040415994166,274.9950323086111,397.00496769138886,44.22974292261412,17.045228565639796,2.5948459859185204,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-01,11787.51485014,11184.48514986,252.25277094527777,491.74722905472225,46.728980640998046,22.744378593367482,2.0545287904513136,True
