month,peak_offpeak_ratio,weekday_weekend_ratio,night_share,peak_share,weekend_share
2025-01,2.692399144434146,2.483553791781412,0.4789519582212752,0.406422132150556,0.14106009251191143
2025-02,2.7196762914576365,1.804641163001243,0.33868573011824,0.38922868578263375,0.1814498816503234
2025-03,2.561765953954845,1.7402197442926997,0.18176752532294865,0.3614549012989384,0.21486041939837183
2025-04,1.827042468019586,1.9984021345688368,0.14757865768943007,0.3026032581148688,0.2003543169013489
2025-05,1.8521317959160817,1.6371739653509405,0.06943413701210308,0.285717702671656,0.25152167002892273
2025-06,1.85600732652528,1.7097269538307005,0.04387266497261956,0.29571073895646827,0.22631458827549855
2025-07,1.8615847234406397,1.542179731517465,0.061922278235794465,0.3124430041215127,0.18412990328491494
2025-08,1.8281509922316541,1.5489460825947845,0.1155283833024022,0.28953832482986397,0.2353405128559422
2025-09,1.7864104573424533,1.4968570505255283,0.21113096636183443,0.30024880849311153,0.19545722763455411
2025-10,1.8737977057300832,2.0809746702148435,0.3126363772418766,0.31270749067677617,0.1865637481290129
2025-11,2.5743982826682656,2.1241918665938226,0.439546198771239,0.37389607003959807,0.19042965795205968
2025-12,2.232203247445209,2.355420357029178,0.5054784873541823,0.3548468684795507,0.1682398189463541
2026-01,2.522725544548358,2.1031205175872496,0.4653633975061194,0.37247236000353207,0.18456483942768231
2026-02,2.595998427262577,1.9459522412219712,0.3373100671789439,0.3848415129178329,0.17045761430937065
