month,total_day_count,total_night_count,day_hours_weighted,night_hours_weighted,avg_day_count_per_hour,avg_night_count_per_hour,day_night_ratio
2025-01,1709606.040447798,1571484.959552202,80175.72319256722,156652.27680743276,21.323238162026193,10.03167647211393,2.1255906947657817
2025-02,2258029.7993119345,1156428.2006880655,88405.11345943222,127291.88654056778,25.541846064686183,9.084853969223822,2.8114756881302285
2025-03,3844615.0188129917,854067.9811870083,117578.61659392389,119906.38340607611,32.698250159644,7.122789937668402,4.590652040252019
2025-04,5240348.853673829,907255.1463261711,134708.73106471277,95474.26893528723,38.901330390800105,9.502614227306749,4.09375035756088
2025-05,5913615.780067267,441244.21993273334,158285.0992304036,80160.9007695964,37.360533675120394,5.504481807171626,6.78729351533953
2025-06,6334309.173972335,290654.8260276656,162192.4183764097,67582.58162359027,39.05428649119666,4.300735767190788,9.080838397264909
2025-07,6294421.776431469,415493.2235685308,161665.7823662825,74644.2176337175,38.93478065859564,5.566314936910111,6.994713935501561
2025-08,5197704.476589054,678916.5234109461,144696.701933055,91196.29806694499,35.921374897638024,7.444562310112302,4.825182918926519
2025-09,4692469.116241583,1255880.8837584178,119910.88424229166,107603.11575770834,39.132970671452895,11.67141745770917,3.352889296715619
2025-10,3115843.35968937,1417191.64031063,102765.7080069675,131604.2919930325,30.31987440283208,10.768582231236502,2.815586467351571
2025-11,2315382.0522257346,1815880.9477742652,81165.6071200739,145341.3928799261,28.52663996956777,12.493900820631714,2.283245271361568
2025-12,1769480.062817835,1808685.937182165,73702.63571523249,160540.36428476748,24.008368841171954,11.26623790372063,2.131001408486438
2026-01,877924.0917721889,764170.9082278111,79095.74276978166,154478.25723021833,11.099511314123442,4.94678618162406,2.243782307663721
2026-02,1582745.4414021617,805619.5585978384,86275.87697765222,124532.12302234778,18.345167813386997,6.469170676976789,2.835783553937731
