station_id,station_name,longitude_wgs84,latitude_wgs84,month,peak_offpeak_ratio,weekday_weekend_ratio,peak_share,weekend_share,ratio_reliable
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-01,4.890701071080818,2.2914604835289127,0.525914873566829,0.1514842154861002,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-02,4.936851002173388,1.7064641744548288,0.5039006174437091,0.18989167005582874,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-03,4.280627198124266,1.649658085177382,0.45624721786191225,0.22400018742825012,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-04,2.755876581353597,1.9551140231449966,0.3812841174941513,0.203656528896976,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-05,2.7605841371918545,1.5586837595570788,0.354226478020939,0.2608262132751122,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-06,2.848678250844108,1.6534082972482191,0.3739722695207979,0.23219005919078894,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-07,2.818792746938126,1.580871509828388,0.39706599001831655,0.18034246920633853,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-08,2.636832755266052,1.5462962962962963,0.3576468968365977,0.2354480052321779,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-09,2.797511073613162,1.531082887700535,0.3899276768389487,0.19192097371670488,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-10,2.981908757210278,2.115938399899837,0.4069124671282134,0.18370632748349702,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-11,4.597094160379994,2.5752983519605985,0.5067294958267886,0.1625858511195294,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2025-12,3.988235294117647,2.635314995563443,0.4833650190114068,0.15304182509505704,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2026-01,4.36520737327189,2.2590425306364756,0.48949693822184326,0.17409503139291527,True
5677,Zählfeld J_36.1_1_I (veraltet),9.999514,53.580505,2026-02,4.531985996180777,2.001522359657469,0.5014791336502905,0.16656101426307449,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-01,2.911144130757801,2.6410994069221916,0.4264321783040223,0.13411979801497476,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-02,2.983739837398374,1.855029171528588,0.4101916628720454,0.17738129734652483,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-03,2.785218062524122,1.737550424259285,0.3778766854300301,0.21510668935724572,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-04,1.851383986624559,1.947645150464258,0.30366324641787973,0.20427797710185333,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-05,1.8811394891944992,1.427277000208899,0.2781893721491037,0.2781603184287748,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-06,1.776873516446253,1.4994145822245875,0.2789533924246054,0.25007319864782135,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-07,1.7414026130049556,1.4800421891480136,0.2973867104352063,0.19029056497320032,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-08,1.7661479905966642,1.6732100119077093,0.2884647029784433,0.22154571883056332,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-09,1.7261102708648426,1.4483514168334561,0.29193312094505036,0.2006836732321001,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-10,1.8224248605195275,2.161898307272757,0.30969202067467966,0.18050585680643483,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-11,2.743284032598853,2.636118038237739,0.40149758133987146,0.15943277450135843,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2025-12,2.4334893048128343,2.790458167587121,0.3825812807881773,0.14577339901477832,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2026-01,2.976744186046512,2.6418291937545146,0.42199055511004185,0.15272208856811903,True
5678,Zählfeld J_36.1_2_I (veraltet),9.999549,53.580513,2026-02,2.904413793103448,2.262227506936187,0.4179966650786089,0.1502501191043354,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-01,3.5997310623038996,2.9592014470422723,0.4791909066499597,0.12145350398281572,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-02,3.584126247389185,2.056987493202828,0.4557365439093484,0.16280099150141644,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-03,3.178398058252427,2.147048125128497,0.42105263157894735,0.18152770241755592,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-04,2.0323643133323785,2.5032768200598374,0.3366223908918406,0.16648481973434534,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-05,2.0249888442659527,2.0207340946166394,0.3167667178556471,0.2139466703895016,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-06,2.0694271183187793,2.18697218082464,0.33225485891243556,0.18608305793718657,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-07,1.9940747291620606,1.9439739750077454,0.3386882364869432,0.15176982177860893,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-08,1.8793304221251819,1.8743988906036815,0.30713419130765757,0.2025834383995052,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-09,1.9980905098338746,1.8124691646542546,0.3329674001240991,0.16710419550379457,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-10,2.0895031896385077,2.5245958230251424,0.3454016744423851,0.1586885664983703,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-11,3.3161863722057636,2.551348999129678,0.4389974329720479,0.1638619509412436,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2025-12,2.7587604981175793,2.776032723262275,0.4089114010989011,0.14641998626373626,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2026-01,3.002098880597015,2.4550709706959704,0.41892023821146146,0.1624524065215269,True
5679,Zählfeld B_39.5_1_I (veraltet),10.036357,53.57573,2026-02,3.060289389067524,2.2082601054481548,0.4275318374772589,0.153358938076949,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-01,1.5753899480069324,1.5189873417721518,0.2712623097582811,0.21217547000895254,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-02,1.797945205479452,1.4650980392156863,0.2943650126156434,0.2144659377628259,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-03,1.7301038062283738,1.7405143875732112,0.2871912693854107,0.2148190695002872,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-04,1.5924453280318094,1.9154228855721394,0.2749742533470649,0.2070030895983522,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-05,1.4910536779324057,1.5628301886792453,0.2455795677799607,0.26031434184675833,True
5680,Zählfeld B_39.5_2_G (veraltet),10.036357,53.57573,2025-06,1.5974781765276431,1.7913832199546484,0.27164769915883225,0.2182088075210292,True
